Sex,GPA,Cheat,Smoke
Female,2.6,No,No
Male,2.7,No,No
Female,3,No,Yes
Female,3.11,No,No
Male,3.4,No,No
Female,3.43,No,No
Male,3.7,No,No
Male,3.7,No,No
Male,3.77,No,No
Female,3.5,No,No
Male,3,No,Yes
Male,3,No,No
Male,3.5,No,No
Male,3.25,No,No
Female,2.83,No,No
Male,2.62,No,No
Female,3.15,No,No
Female,4.2,Yes,Yes
Female,3.7,Yes,No
Male,4.38,No,No
Male,3.65,No,No
Male,3.6,No,No
Female,3,No,No
Female,2.25,No,No
Female,4.03,No,No
Female,2.54,No,No
Female,2.6,No,Yes
Male,3,No,No
Male,2.93,No,No
Male,3.2,No,No
Female,3,No,No
Female,3.4,No,No
Female,2.5,No,No
Female,3,No,No
Female,3.51,No,No
Female,2.37,No,No
Female,3.5,No,No
Female,3,Yes,No
Female,2.9,No,No
Female,3.9,Yes,No
Female,2.65,No,No
Female,3.5,No,No
Female,3.3,No,No
Male,3.4,Yes,No
Male,3.6,No,No
Male,3.21,No,No
Male,3.1,No,No
Male,3.85,No,No
Male,3.2,No,Yes
Male,2.5,No,Yes
Male,2.5,No,Yes
Female,2.9,No,Yes
Female,4.2,No,No
Female,2.8,No,No
Male,2.6,No,No
Male,3.05,No,No
Male,3.7,No,Yes
Male,4,No,No
Female,3.5,No,No
Female,3.22,No,No
Female,2.9,No,Yes
Male,3.25,No,No
Male,3.26,Yes,No
Female,3,No,No
Male,2.01,No,No
Female,3.71,Yes,No
Female,3.87,No,No
Male,3.26,No,No
Male,2.5,No,No
Male,2.9,No,Yes
Female,3.6,No,No
Male,3.9,No,No
Male,2,No,Yes
Male,3.2,No,No
Female,3.3,No,No
Female,2.8,No,No
Female,3.8,No,No
Male,3,No,No
Female,2.23,No,Yes
Female,3.876,Yes,No
Female,3.01,No,No
Male,2.5,No,No
Female,3,No,No
Female,2.79,No,No
Female,3.8,No,No
Female,3.25,No,No
Female,2.8,No,Yes
Male,3.39,No,No
Female,2.64,No,No
Female,3.65,No,No
Female,3.4,No,No
Female,3.33,No,No
Female,3.9,Yes,No
Female,2.54,No,No
Female,2.8,Yes,No
Male,3.5,No,No
Male,3.1,No,No
Male,2.66,No,No
Male,1.91,No,Yes
Male,2.8,No,No
Female,2.8,No,No
Male,2.7,No,Yes
Female,3.8,No,No
Female,3.24,No,No
Female,2.58,No,No
Female,3.17,No,No
Female,2.6,No,No
Female,2.58,No,No
Female,2,No,Yes
Female,3.44,No,No
Female,2.9,Yes,No
Female,2.7,No,No
Male,3.5,No,No
Male,3,No,No
Male,2.44,No,No
Male,2,No,Yes
Male,3.34,No,No
Male,3.83,No,No
Male,1.92,No,No
Male,2.7,No,Yes
Female,3.9,Yes,No
Female,2.33,No,No
Female,1.96,No,Yes
Female,3,No,No
Female,3,No,Yes
Female,3.4,No,No
Female,2.05,No,Yes
Female,3.1,No,Yes
Female,3,No,No
Female,3,No,No
Female,3.25,No,No
Female,3.92,No,No
Female,4,No,No
Female,3,No,No
Male,3.26,No,Yes
Male,2.8,No,No
Female,2.84,No,No
Male,2.8,No,No
Male,2.87,No,No
Female,2.1,No,Yes
Female,2.77,No,Yes
Male,2.95,No,Yes
Male,3.7,No,No
Female,3.89,No,Yes
Female,3.5,No,No
Female,3,No,No
Male,3.88,No,No
Female,3,Yes,No
Female,4,No,No
Female,3.2,No,No
Female,3.2,No,No
Female,3.57,No,No
Female,3,No,No
Female,2.96,No,No
Female,2.5,No,Yes
Female,2.67,Yes,No
Female,3,No,No
Female,2.7,No,No
Female,3.8,No,No
Female,2.5,No,No
Female,3.1,No,Yes
Female,3.5,No,No
Female,3.87,No,No
Female,3.4,No,No
Female,4.1,No,No
Female,3.54,No,No
Male,3.8,No,No
Male,3.21,No,No
Male,3,No,No
Male,2.04,No,No
Male,2.8,No,No
Female,2.4,No,No
Female,2.9,No,No
Male,2.38,No,Yes
Female,3.83,No,No
Female,2.9,No,Yes
Female,2.91,No,No
Female,2.9,No,No
Male,2.04,No,No
Female,3.67,No,No
Female,3,No,No
Male,3.3,No,No
Female,3.6,No,No
Female,3.5,No,No
Male,3,No,No
Male,3.7,No,No
Male,3.4,No,No
Female,3.33,No,No
Male,4.06,No,No
Male,3.8,No,No
Male,4,No,No
Female,3,No,No
Female,3,No,No
Male,3,No,Yes
Female,3.2,No,No
Female,3.4,No,Yes
Female,3.5,No,No
Female,3.6,No,No
Female,3.43,Yes,No
Female,3.92,No,No
Female,3,No,No
Female,2.9,Yes,Yes
Female,3.2,No,No
Female,3.4,No,No
Female,3.7,No,No
Female,3.4,No,No
Female,3.1,No,No
Female,3,No,No
Female,3.79,No,No
Female,3.9,Yes,No
Male,2.1,No,Yes
Male,3,No,No
Male,2.06,No,Yes
Female,3,No,Yes
Female,3.81,No,No
Female,2.4,No,No
Female,2.6,No,No
Female,3,No,No
Male,3,No,No
Female,3.9,No,No
Female,2.94,No,No
Male,2.5,No,Yes
Male,2.5,No,Yes
Male,2.7,No,Yes
Female,3.2,No,No
Female,2.67,Yes,No
Male,2,No,Yes
Male,2.46,No,Yes